variable,results,se,(lower,upper),missInfo,or,ll,ul,z,p_value,race,model
(Intercept),-8.59195488953185,1.559791888785325,-11.649193811810342,-5.534715967253359,3 %,0.00018559291913878314,8.726084393502743e-6,0.0039473296476598045,-5.508398236525491,3.6211347476111655e-8,Asian American,weighted
as.numeric(math_4level),0.7960759072487343,0.27041665972787904,0.265971682338784,1.3261801321586848,6 %,2.216824812076542,1.3046981121646815,3.7666278517753407,2.943886327306267,0.003241190207335487,Asian American,weighted
as.numeric(par_exp),0.19512235941186062,0.10998136015383672,-0.020688670137838344,0.4109333889615596,15 %,1.2154597003253487,0.9795238721356776,1.5082248887859202,1.7741402646678737,0.076039952048929,Asian American,weighted
as.numeric(par_sch_inv),0.13089695641309118,0.08792849595231794,-0.04146011633487773,0.3032540291610601,5 %,1.1398503209947135,0.9593875984721302,1.3542584418861388,1.4886750307212608,0.13657296320904377,Asian American,weighted
female1,0.03450493482057451,0.30023701765751803,-0.5539863050549972,0.6229961746961462,4 %,1.0351071364315043,0.5746544903972188,1.8645060672036373,0.11492565137299117,0.9085040529477113,Asian American,weighted
par_ba,-0.020903491680164525,0.2779467641841277,-0.5661213859001396,0.5243144025398107,13 %,0.9793134719067801,0.567723152927467,1.6893002712902248,-0.07520681790098792,0.9400501598192381,Asian American,weighted
as.factor(first_lang)2,0.3423976417361724,0.36809985899049635,-0.37916477278442906,1.0639600562567737,5 %,1.4083201930744644,0.684432827471831,2.89782384276845,0.9301759654980265,0.35227998385673365,Asian American,weighted
as.factor(first_lang)3,-0.3673332684175541,0.3886439404973498,-1.1291962905350812,0.394529753699973,6 %,0.6925787919404826,0.32329298566736836,1.4836863288437048,-0.9451665911669064,0.34457383275980824,Asian American,weighted
frpl1,0.16481665697217732,0.3677558902105792,-0.5565170373612267,0.8861503513055813,12 %,1.1791769050272543,0.5732020323798664,2.425773278536082,0.448168639468432,0.6540314938100884,Asian American,weighted
math_score,0.09414087578599153,0.02634793286622458,0.04249453312884642,0.14578721844313663,5 %,1.0987145172863517,1.0434103521681304,1.1569499842390505,3.5729890562561266,3.529295161472934e-4,Asian American,weighted
public,0.19812373879509765,0.42352735711213785,-0.6321189443530699,1.028366421943265,6 %,1.2191132360918515,0.5314644634222718,2.7964938104120534,0.4677944304377962,0.6399316039130207,Asian American,weighted
as.factor(x1locale)2,0.4406617148463643,0.34613177786892885,-0.2380115986097684,1.119335028302497,9 %,1.5537350079441423,0.7881935490913554,3.062816839460557,1.273103895745832,0.20298117673301252,Asian American,weighted
as.factor(x1locale)3,-0.22551402045629565,0.6639031991970051,-1.5283707699992441,1.077342729086653,16 %,0.79810587056097,0.2168887412626655,2.9368651268646113,-0.3396790687694474,0.734098226179595,Asian American,weighted
as.factor(x1locale)4,0.497936115131768,0.49109258386486954,-0.4649288208279175,1.4608010510914535,8 %,1.6453220088667588,0.6281798169176372,4.309410203824301,1.0139353178845427,0.3106136174578662,Asian American,weighted
(Intercept),-6.47161488123719,1.8386577294628932,-10.075449899729236,-2.8677798627451425,3 %,0.0015467259363394397,4.210054383222865e-5,0.05682494581729671,-3.5197496399330785,4.3195432458831284e-4,Black,weighted
as.numeric(math_4level),0.4544066933179745,0.17701900222814598,0.10743505630182765,0.8013783303341213,3 %,1.575238506195568,1.1134185488802835,2.2286105740708706,2.566993868445407,0.01025844263665987,Black,weighted
as.numeric(par_exp),0.2447272742109009,0.13897218466703143,-0.028312201999106446,0.5177667504209083,22 %,1.2772729204340791,0.9720848325936824,1.6782754535129285,1.7609802623255293,0.07824174374750892,Black,weighted
as.numeric(par_sch_inv),0.19585531263028058,0.09308314382590659,0.01260050536794391,0.3791101198926172,30 %,1.216350901989228,1.012680226224844,1.4609839102768414,2.104090005775791,0.03537059648947283,Black,weighted
female1,0.3506854228329094,0.29563961947538997,-0.22916641494487044,0.9305372606106892,12 %,1.4200405433108085,0.7951961899633139,2.5358712354236603,1.1861922412672488,0.23554638956954244,Black,weighted
par_ba,0.625315299736319,0.2666419928331319,0.10266703662593124,1.1479635628467069,4 %,1.8688351077645713,1.1081223834757288,3.151767992501628,2.3451493633549676,0.01901945863425092,Black,weighted
as.factor(first_lang)2,-2.285852976719369,1.5429982645653177,-5.310086640388839,0.7383806869501006,1 %,0.1016872882139876,0.004941498565775278,2.0925442852359257,-1.481435870158495,0.1384904621256402,Black,weighted
as.factor(first_lang)3,-2.0140156960725704,1.5833129684459175,-5.117260692823705,1.0892293006785643,1 %,0.1334516957678021,0.0059924154993467186,2.9719826846525503,-1.272026274154379,0.20336378413031486,Black,weighted
frpl1,0.07053984737087285,0.28973989896332975,-0.4976076539569748,0.6386873486987205,10 %,1.0730873282875426,0.607983428005721,1.8939930943651646,0.24345921160067968,0.8076496790444001,Black,weighted
math_score,0.08346741075716531,0.017531314632721073,0.04909906385072024,0.11783575766361037,7 %,1.0870497885860821,1.050324394765493,1.1250593138216884,4.761046875593617,1.9259130432658367e-6,Black,weighted
public,1.0043823065916448,0.39250013745330453,0.23495165287282138,1.7738129603104684,6 %,2.7302203127769538,1.2648476155060837,5.893281423721065,2.5589349168346103,0.01049933958263738,Black,weighted
as.factor(x1locale)2,0.13719726712537558,0.31769520414259317,-0.4862387678657738,0.760633302116525,16 %,1.147054402328042,0.6149349630746606,2.13963082424441,0.43185186725008434,0.6658490795574694,Black,weighted
as.factor(x1locale)3,-0.6653833767668482,0.6202182710797297,-1.8827124054527398,0.5519456519190433,17 %,0.5140764049728568,0.15217678032847548,1.736628607724363,-1.07282130790583,0.2833512985430855,Black,weighted
as.factor(x1locale)4,0.029819783336256536,0.3588089820998896,-0.6740270866305437,0.7336666533030568,13 %,1.0302688456078382,0.5096520267481294,2.082703174954073,0.08310768354164262,0.9337659164016405,Black,weighted
(Intercept),-8.82642363321797,1.011652614721398,-10.810304100674827,-6.842543165761114,10 %,1.4680232071581593e-4,2.019038411769121e-5,0.0010673854069307152,-8.724757396736138,0,Latinx,weighted
as.numeric(math_4level),0.562969973363004,0.17480755335395293,0.21995890685022162,0.9059810398757864,15 %,1.755879679753869,1.2460255264217328,2.47435817677545,3.220512858635428,0.0012796145208660015,Latinx,weighted
as.numeric(par_exp),0.3167542254457457,0.0857276935090932,0.1486480279011122,0.48486042299037924,10 %,1.3726651642951573,1.1602645365871314,1.6239483271735369,3.69488799336643,2.1998373935905313e-4,Latinx,weighted
as.numeric(par_sch_inv),0.21204333731557032,0.07148288222811992,0.07192313770410963,0.352163536927031,5 %,1.2362014575703264,1.074572746761128,1.422141077284095,2.9663512537013617,0.0030135609471089175,Latinx,weighted
female1,0.1720332868171109,0.19326215131585542,-0.2071021736177749,0.5511687472519966,14 %,1.1877173678867148,0.8129365850722035,1.7352799368162926,0.8901550854411766,0.3733826179487889,Latinx,weighted
par_ba,0.2886882145607121,0.2241538730987965,-0.15078706980167683,0.728163498923101,8 %,1.3346755312529361,0.8600308056940255,2.071273217112021,1.287901969168616,0.1977800899417168,Latinx,weighted
as.factor(first_lang)2,-0.21185496608388596,0.27991118095149514,-0.7607664514835397,0.33705651931576774,10 %,0.8090820333932175,0.46730812071286276,1.4008182347893126,-0.7568649646781976,0.449130767134875,Latinx,weighted
as.factor(first_lang)3,-0.3202122092545775,0.29434653003324496,-0.8972523164856284,0.25682789797647343,7 %,0.7259949578769154,0.4076883206513813,1.2928226102248492,-1.0878749249002906,0.2766503271935823,Latinx,weighted
frpl1,-0.24493095437054316,0.2556149634022795,-0.746125209394472,0.25626330065338576,9 %,0.782758582435126,0.4742004248626962,1.2920928920577355,-0.9582027245606817,0.33796054362930605,Latinx,weighted
math_score,0.09186045114951674,0.016216263087629194,0.06006450570422009,0.1236563965948134,9 %,1.0962118363049282,1.061905043268752,1.1316269733082862,5.66471144758337,1.4727215447152275e-8,Latinx,weighted
public,0.5556630772490476,0.3009618935079779,-0.03422449601624877,1.145550650514344,2 %,1.7430964092357655,0.9663545375403316,3.144172220295297,1.8462904747584534,0.06485004006374773,Latinx,weighted
as.factor(x1locale)2,0.1059811683114224,0.2546793974235853,-0.3933051682808024,0.6052675049036472,7 %,1.1118009392203416,0.6748227816524736,1.8317421433584804,0.416135617500121,0.6773107682072135,Latinx,weighted
as.factor(x1locale)3,-0.41165608663159037,0.3709595254105811,-1.1394653674877182,0.31615319422453747,14 %,0.6625520973980366,0.3199900531788027,1.3718403975552595,-1.1097062035971876,0.26712564879497447,Latinx,weighted
as.factor(x1locale)4,-0.04880717000483512,0.28342423067154765,-0.6045749017817337,0.5069605617720634,10 %,0.9523647564849479,0.5463066112526509,1.6602373295738382,-0.17220535410536714,0.8632760887956461,Latinx,weighted
(Intercept),-8.600216109503588,1.277188095542537,-11.10381051856459,-6.0966217004425856,5 %,1.8406601095476792e-4,1.5054847606021747e-5,0.002250457611756169,-6.733711455281221,1.6538992397840957e-11,Multiracial,weighted
as.numeric(math_4level),0.6997815235436003,0.17669701625183096,0.353200383621462,1.0463626634657386,12 %,2.013312797971567,1.4236163842605032,2.8472757600227054,3.9603471433058175,7.484088687026436e-5,Multiracial,weighted
as.numeric(par_exp),0.37650444027834057,0.11313275160996075,0.15455950498637866,0.5984493755703024,14 %,1.4571820097035608,1.1671437268627678,1.8192955679171243,3.3279880045381245,8.74756329219295e-4,Multiracial,weighted
as.numeric(par_sch_inv),0.11354292016644121,0.07982173646851827,-0.043005049933085765,0.2700908902659682,11 %,1.1202399687464881,0.9579065526908229,1.310083519161582,1.422456152795205,0.15489387179472325,Multiracial,weighted
female1,0.3418430170127947,0.21450005135144765,-0.07870585035364308,0.7623918843792324,8 %,1.4075393204426039,0.9243117704418238,2.143396851524485,1.593673357460889,0.11100921455681356,Multiracial,weighted
par_ba,0.25414399064755655,0.21342886727801005,-0.16426452758764515,0.6725525088827582,7 %,1.289357446315751,0.848517535893303,1.9592319003987195,1.1907667125296197,0.23374518005011313,Multiracial,weighted
as.factor(first_lang)2,-0.14493476715626957,0.7882806058587376,-1.6899367668009615,1.4000672324884225,0 %,0.8650787228153262,0.18453119212167907,4.055472617194875,-0.1838618964859353,0.8541217973516955,Multiracial,weighted
as.factor(first_lang)3,-0.5571837042106192,0.9283810098636387,-2.3767780279138266,1.262410619492588,0 %,0.572820024936872,0.0928492537925805,3.5339301886225676,-0.600167063189346,0.5483949019508243,Multiracial,weighted
frpl1,-0.40947887208309247,0.23631977104967833,-0.8728407447149443,0.053883000548759385,9 %,0.663996186939562,0.4177631036827375,1.0553611182597498,-1.7327321800638222,0.08314328204298782,Multiracial,weighted
math_score,0.09127518202460079,0.016878480594521513,0.05817627554897871,0.12437408850022287,10 %,1.0955704450743222,1.0599018140181835,1.1324394243368627,5.407784279719305,6.38092130245127e-8,Multiracial,weighted
public,0.15239989723539685,0.3617560411105669,-0.5566578125223625,0.8614576069931561,3 %,1.1646258739896012,0.5731213454508858,2.3666077648861124,0.421278098819136,0.6735520209260324,Multiracial,weighted
